time_s,map_odom_deg,odom_base_deg,map_laser_deg,base_laser_deg,odom_laser_deg
1777022715.854851,-63.189085,-10.469864,-73.678816,0.000000,-10.469864
1777022715.954974,-63.861380,-12.856442,-76.056275,0.000000,-12.856442
1777022716.054214,-63.984955,-15.724744,-79.588179,0.000000,-15.724744
1777022716.161345,-64.041733,-18.702558,-82.688378,0.000000,-18.702558
1777022716.256788,-64.217318,-21.327467,-85.371682,0.000000,-21.327467
1777022716.354867,-64.459893,-23.174381,-87.395468,0.000000,-23.174381
1777022716.454588,-64.475754,-23.985004,-88.445097,0.000000,-23.985004
1777022716.554392,-64.475754,-23.904471,-88.380225,0.000000,-23.904471
1777022716.654136,-64.475754,-23.488324,-87.964077,0.000000,-23.488324
1777022716.754363,-64.475754,-23.100572,-87.576325,0.000000,-23.100572
1777022716.855939,-64.475754,-22.820781,-87.296535,0.000000,-22.820781
1777022716.954203,-64.475754,-22.633718,-87.109472,0.000000,-22.633718
1777022717.054343,-64.475754,-22.614990,-87.090744,0.000000,-22.614990
1777022717.154243,-64.475754,-22.610321,-87.086074,0.000000,-22.610321
1777022717.254893,-64.475754,-22.606567,-87.082321,0.000000,-22.606567
1777022717.354374,-64.475754,-22.596742,-87.072496,0.000000,-22.596742
1777022717.454300,-64.475754,-22.594174,-87.069928,0.000000,-22.594174
